"DateTime","2023","2024","2025"
"1970-05-02 23:00:00",42.34,7.52,626.39
"1970-05-03 23:00:00",28.96,31.06,587.82
"1970-05-04 23:00:00",11.27,,738.96
"1970-05-05 23:00:00",6.52,1.88,687.03
"1970-05-06 23:00:00",3.76,8.4,791.13
"1970-05-07 23:00:00",27.08,13.04,809.83
"1970-05-08 23:00:00",43.88,24.77,684.43
"1970-05-09 23:00:00",30.84,5.64,572.3
"1970-05-10 23:00:00",22.44,38.25,609.72
"1970-05-11 23:00:00",44.9,11.27,603.69
"1970-05-12 23:00:00",15.92,7.52,717.71
"1970-05-13 23:00:00",18.79,14.04,777.52
"1970-05-14 23:00:00",37.47,50.56,575.68
"1970-05-15 23:00:00",21.55,25.2,576.29
"1970-05-16 23:00:00",45.76,15.92,493.48
"1970-05-17 23:00:00",46.65,17.8,407.57
"1970-05-18 23:00:00",37.59,7.52,687.45
"1970-05-19 23:00:00",28.08,8.4,
"1970-05-20 23:00:00",5.64,19.68,919.63
"1970-05-21 23:00:00",43.11,21.44,829.84
"1970-05-22 23:00:00",26.08,5.64,693.26
"1970-05-23 23:00:00",24.32,18.79,717.41
"1970-05-24 23:00:00",32.83,6.52,495.13
"1970-05-25 23:00:00",30.84,11.27,534.85
"1970-05-26 23:00:00",27.19,1.88,897.75
"1970-05-27 23:00:00",21.55,21.55,793.61
"1970-05-28 23:00:00",27.19,31.72,847.82
"1970-05-29 23:00:00",44.76,22.44,908.71
"1970-05-30 23:00:00",36.48,23.32,629.31
"1970-05-31 23:00:00",27.19,24.32,606.13
"1970-06-01 23:00:00",32.72,32.4,792.79
"1970-06-02 23:00:00",38.13,7.52,845.81
"1970-06-03 23:00:00",3.76,19.9,760.8
"1970-06-04 23:00:00",18.79,15.15,761.97
"1970-06-05 23:00:00",19.68,21.55,908.12
"1970-06-06 23:00:00",31.83,18.79,643.47
"1970-06-07 23:00:00",38.8,1.88,601.23
"1970-06-08 23:00:00",11.27,,752.36
"1970-06-09 23:00:00",27.31,,
"1970-06-10 23:00:00",27.08,2.76,756.28
"1970-06-11 23:00:00",31.72,,797.32
"1970-06-12 23:00:00",27.97,,679.98
"1970-06-13 23:00:00",32.72,,627.28
"1970-06-14 23:00:00",36.93,,541.43
"1970-06-15 23:00:00",31.72,,906.82
